Administrator,FundID,Fund,Date,UnitPrice,CurrencyCode
LifeSight,101,LifeSight Equity - LSEQ,31/08/2016,1.2534,GBP
LifeSight,101,LifeSight Equity - LSEQ,01/09/2016,1.2465,GBP
LifeSight,101,LifeSight Equity - LSEQ,02/09/2016,1.2461,GBP
LifeSight,101,LifeSight Equity - LSEQ,03/09/2016,1.2461,GBP
LifeSight,101,LifeSight Equity - LSEQ,04/09/2016,1.2461,GBP
LifeSight,101,LifeSight Equity - LSEQ,05/09/2016,1.2548,GBP
LifeSight,101,LifeSight Equity - LSEQ,06/09/2016,1.2564,GBP
LifeSight,101,LifeSight Equity - LSEQ,07/09/2016,1.258,GBP
LifeSight,101,LifeSight Equity - LSEQ,08/09/2016,1.2604,GBP
LifeSight,101,LifeSight Equity - LSEQ,09/09/2016,1.2575,GBP
LifeSight,101,LifeSight Equity - LSEQ,10/09/2016,1.2575,GBP
LifeSight,101,LifeSight Equity - LSEQ,11/09/2016,1.2575,GBP
LifeSight,101,LifeSight Equity - LSEQ,12/09/2016,1.2281,GBP
LifeSight,101,LifeSight Equity - LSEQ,13/09/2016,1.2398,GBP
LifeSight,101,LifeSight Equity - LSEQ,14/09/2016,1.2272,GBP
LifeSight,101,LifeSight Equity - LSEQ,15/09/2016,1.2238,GBP
LifeSight,101,LifeSight Equity - LSEQ,16/09/2016,1.2329,GBP
LifeSight,101,LifeSight Equity - LSEQ,17/09/2016,1.2329,GBP
LifeSight,101,LifeSight Equity - LSEQ,18/09/2016,1.2329,GBP
LifeSight,101,LifeSight Equity - LSEQ,19/09/2016,1.241,GBP
LifeSight,101,LifeSight Equity - LSEQ,20/09/2016,1.2472,GBP
LifeSight,101,LifeSight Equity - LSEQ,21/09/2016,1.2523,GBP
LifeSight,101,LifeSight Equity - LSEQ,22/09/2016,1.2647,GBP
LifeSight,101,LifeSight Equity - LSEQ,23/09/2016,1.271,GBP
LifeSight,101,LifeSight Equity - LSEQ,24/09/2016,1.271,GBP
LifeSight,101,LifeSight Equity - LSEQ,25/09/2016,1.271,GBP
LifeSight,101,LifeSight Equity - LSEQ,26/09/2016,1.2625,GBP
LifeSight,101,LifeSight Equity - LSEQ,27/09/2016,1.2553,GBP
LifeSight,101,LifeSight Equity - LSEQ,28/09/2016,1.2573,GBP
LifeSight,101,LifeSight Equity - LSEQ,29/09/2016,1.2695,GBP
LifeSight,101,LifeSight Equity - LSEQ,30/09/2016,1.2552,GBP
LifeSight,101,LifeSight Equity - LSEQ,01/10/2016,1.2552,GBP
LifeSight,101,LifeSight Equity - LSEQ,02/10/2016,1.2552,GBP
LifeSight,101,LifeSight Equity - LSEQ,03/10/2016,1.2725,GBP
LifeSight,101,LifeSight Equity - LSEQ,04/10/2016,1.2798,GBP
LifeSight,101,LifeSight Equity - LSEQ,05/10/2016,1.2772,GBP
LifeSight,101,LifeSight Equity - LSEQ,06/10/2016,1.2842,GBP
LifeSight,101,LifeSight Equity - LSEQ,07/10/2016,1.2997,GBP
LifeSight,101,LifeSight Equity - LSEQ,08/10/2016,1.2997,GBP
LifeSight,101,LifeSight Equity - LSEQ,09/10/2016,1.2997,GBP
LifeSight,101,LifeSight Equity - LSEQ,10/10/2016,1.2959,GBP
LifeSight,101,LifeSight Equity - LSEQ,11/10/2016,1.3095,GBP
LifeSight,101,LifeSight Equity - LSEQ,12/10/2016,1.2974,GBP
LifeSight,101,LifeSight Equity - LSEQ,13/10/2016,1.2937,GBP
LifeSight,101,LifeSight Equity - LSEQ,14/10/2016,1.296,GBP
LifeSight,101,LifeSight Equity - LSEQ,15/10/2016,1.296,GBP
LifeSight,101,LifeSight Equity - LSEQ,16/10/2016,1.296,GBP
LifeSight,101,LifeSight Equity - LSEQ,17/10/2016,1.2975,GBP
LifeSight,101,LifeSight Equity - LSEQ,18/10/2016,1.2959,GBP
LifeSight,101,LifeSight Equity - LSEQ,19/10/2016,1.3003,GBP
LifeSight,101,LifeSight Equity - LSEQ,20/10/2016,1.3082,GBP
LifeSight,101,LifeSight Equity - LSEQ,21/10/2016,1.3092,GBP
LifeSight,101,LifeSight Equity - LSEQ,22/10/2016,1.3092,GBP
LifeSight,101,LifeSight Equity - LSEQ,23/10/2016,1.3092,GBP
LifeSight,101,LifeSight Equity - LSEQ,24/10/2016,1.3105,GBP
LifeSight,101,LifeSight Equity - LSEQ,25/10/2016,1.3137,GBP
LifeSight,101,LifeSight Equity - LSEQ,26/10/2016,1.3083,GBP
LifeSight,101,LifeSight Equity - LSEQ,27/10/2016,1.3041,GBP
LifeSight,101,LifeSight Equity - LSEQ,28/10/2016,1.3116,GBP
LifeSight,101,LifeSight Equity - LSEQ,29/10/2016,1.3116,GBP
LifeSight,101,LifeSight Equity - LSEQ,30/10/2016,1.3116,GBP
LifeSight,101,LifeSight Equity - LSEQ,31/10/2016,1.3061,GBP
LifeSight,101,LifeSight Equity - LSEQ,01/11/2016,1.3036,GBP
LifeSight,101,LifeSight Equity - LSEQ,02/11/2016,1.2865,GBP
LifeSight,101,LifeSight Equity - LSEQ,03/11/2016,1.2744,GBP
LifeSight,101,LifeSight Equity - LSEQ,04/11/2016,1.2597,GBP
LifeSight,101,LifeSight Equity - LSEQ,05/11/2016,1.2597,GBP
LifeSight,101,LifeSight Equity - LSEQ,06/11/2016,1.2597,GBP
LifeSight,101,LifeSight Equity - LSEQ,07/11/2016,1.2703,GBP
LifeSight,101,LifeSight Equity - LSEQ,08/11/2016,1.2868,GBP
LifeSight,101,LifeSight Equity - LSEQ,09/11/2016,1.2761,GBP
LifeSight,101,LifeSight Equity - LSEQ,10/11/2016,1.3035,GBP
LifeSight,101,LifeSight Equity - LSEQ,11/11/2016,1.2839,GBP
LifeSight,101,LifeSight Equity - LSEQ,12/11/2016,1.2839,GBP
LifeSight,101,LifeSight Equity - LSEQ,13/11/2016,1.2839,GBP
LifeSight,101,LifeSight Equity - LSEQ,14/11/2016,1.2846,GBP
LifeSight,101,LifeSight Equity - LSEQ,15/11/2016,1.2938,GBP
LifeSight,101,LifeSight Equity - LSEQ,16/11/2016,1.2989,GBP
LifeSight,101,LifeSight Equity - LSEQ,17/11/2016,1.2956,GBP
LifeSight,101,LifeSight Equity - LSEQ,18/11/2016,1.2993,GBP
LifeSight,101,LifeSight Equity - LSEQ,19/11/2016,1.2993,GBP
LifeSight,101,LifeSight Equity - LSEQ,20/11/2016,1.2993,GBP
LifeSight,101,LifeSight Equity - LSEQ,21/11/2016,1.3037,GBP
LifeSight,101,LifeSight Equity - LSEQ,22/11/2016,1.3107,GBP
LifeSight,101,LifeSight Equity - LSEQ,23/11/2016,1.3144,GBP
LifeSight,101,LifeSight Equity - LSEQ,24/11/2016,1.3107,GBP
LifeSight,101,LifeSight Equity - LSEQ,25/11/2016,1.3127,GBP
LifeSight,101,LifeSight Equity - LSEQ,26/11/2016,1.3127,GBP
LifeSight,101,LifeSight Equity - LSEQ,27/11/2016,1.3127,GBP
LifeSight,101,LifeSight Equity - LSEQ,28/11/2016,1.3184,GBP
LifeSight,101,LifeSight Equity - LSEQ,29/11/2016,1.3096,GBP
LifeSight,101,LifeSight Equity - LSEQ,30/11/2016,1.3153,GBP
LifeSight,101,LifeSight Equity - LSEQ,01/12/2016,1.3057,GBP
LifeSight,101,LifeSight Equity - LSEQ,02/12/2016,1.3005,GBP
LifeSight,101,LifeSight Equity - LSEQ,03/12/2016,1.3005,GBP
LifeSight,101,LifeSight Equity - LSEQ,04/12/2016,1.3005,GBP
LifeSight,101,LifeSight Equity - LSEQ,05/12/2016,1.2989,GBP
LifeSight,101,LifeSight Equity - LSEQ,06/12/2016,1.3073,GBP
LifeSight,101,LifeSight Equity - LSEQ,07/12/2016,1.3273,GBP
LifeSight,101,LifeSight Equity - LSEQ,08/12/2016,1.3396,GBP
LifeSight,101,LifeSight Equity - LSEQ,09/12/2016,1.3465,GBP
LifeSight,101,LifeSight Equity - LSEQ,10/12/2016,1.3465,GBP
