Administrator,FundID,Fund,Date,UnitPrice,CurrencyCode
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,02/01/2014,0.879003108,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,03/01/2014,0.877340674,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,04/01/2014,0.877340674,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,05/01/2014,0.877340674,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,06/01/2014,0.877056599,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,07/01/2014,0.880532324,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,08/01/2014,0.879930556,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,09/01/2014,0.87972182,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,10/01/2014,0.879404366,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,11/01/2014,0.879404366,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,12/01/2014,0.879404366,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,13/01/2014,0.881384432,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,14/01/2014,0.883013785,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,15/01/2014,0.880498827,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,16/01/2014,0.886037886,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,17/01/2014,0.889647245,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,18/01/2014,0.889647245,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,19/01/2014,0.889647245,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,20/01/2014,0.888418794,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,21/01/2014,0.887124062,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,22/01/2014,0.887692034,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,23/01/2014,0.88524425,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,24/01/2014,0.884651244,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,25/01/2014,0.884651244,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,26/01/2014,0.884651244,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,27/01/2014,0.874558568,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,28/01/2014,0.862235487,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,29/01/2014,0.863964975,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,30/01/2014,0.868518293,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,31/01/2014,0.862761855,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,01/02/2014,0.862761855,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,02/02/2014,0.862761855,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,03/02/2014,0.859829485,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,04/02/2014,0.866295815,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,05/02/2014,0.856278539,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,06/02/2014,0.861316621,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,07/02/2014,0.864683509,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,08/02/2014,0.864683509,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,09/02/2014,0.864683509,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,10/02/2014,0.870138824,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,11/02/2014,0.872812629,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,12/02/2014,0.877056599,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,13/02/2014,0.87933737,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,14/02/2014,0.875143409,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,15/02/2014,0.875143409,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,16/02/2014,0.875143409,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,17/02/2014,0.877591431,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,18/02/2014,0.881258905,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,19/02/2014,0.883080482,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,20/02/2014,0.885344684,GBP
Omnis,0P0000Y385.L,Omnis Managed Balanced B Inc - 0P0000Y385.L,21/02/2014,0.882194817,GBP
