Administrator,FundID,Fund,Date,UnitPrice,CurrencyCode
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),16/09/2026,1972.6,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),15/09/2026,1967,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),14/09/2026,1978.4,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),11/09/2026,1984.6,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),10/09/2026,1979.3,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),09/09/2026,1987.8,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),08/09/2026,1998.6,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),07/09/2026,2008.6,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),04/09/2026,2004.4,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),03/09/2026,2004.4,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),02/09/2026,1985.8,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),01/09/2026,1988.3,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),28/08/2026,2000.7,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),27/08/2026,2002,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),26/08/2026,1994.3,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),25/08/2026,1988.7,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),24/08/2026,1977.9,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),21/08/2026,1989.1,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),20/08/2026,1975.2,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),19/08/2026,1978.6,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),18/08/2026,1987.4,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),17/08/2026,2003.3,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),14/08/2026,2010,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),13/08/2026,2016,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),12/08/2026,2005.3,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),11/08/2026,1999.5,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),10/08/2026,2003.9,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),07/08/2026,2007,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),06/08/2026,1997.1,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),05/08/2026,2000.7,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),04/08/2026,1995.1,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),03/08/2026,1972,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),31/07/2026,1956.1,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),30/07/2026,1930.8,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),29/07/2026,1918.5,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),28/07/2026,1939.6,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),27/07/2026,1950.2,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),24/07/2026,1940.4,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),23/07/2026,1947.8,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),22/07/2026,1960.8,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),21/07/2026,1959.8,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),20/07/2026,1930.9,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),17/07/2026,1934.6,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),16/07/2026,1954.5,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),15/07/2026,1971.2,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),14/07/2026,1966.2,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),13/07/2026,1962.5,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),10/07/2026,1980,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),09/07/2026,1974.3,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),08/07/2026,1958.3,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),07/07/2026,1973.8,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),06/07/2026,1991.6,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),03/07/2026,1981.3,GBp
The Peoples Pension,GI100,Peoples Pension GI (up to 100% shares),02/07/2026,1967.2,GBp
